Contribution,SV Payment,Equal Payment,Reversed 
70.56212356,65.46012806,97.4737372,0
82.61355986,80.24552423,97.4737372,70.56212356
83.06522044,80.8153116,97.4737372,82.61355986
85.86267928,83.95875586,97.4737372,83.06522044
86.6850823,84.97733872,97.4737372,85.86267928
89.69032471,88.31493275,97.4737372,86.6850823
91.10688957,89.93847505,97.4737372,89.69032471
91.51256153,90.46652491,97.4737372,91.10688957
93.30281387,92.44647742,97.4737372,91.51256153
93.33847155,92.49712519,97.4737372,93.30281387
93.56780231,92.75974324,97.4737372,93.33847155
93.65714449,92.86103877,97.4737372,93.56780231
97.08236638,96.76232368,97.4737372,93.65714449
99.06284581,99.05225928,97.4737372,97.08236638
103.7392544,104.2553794,97.4737372,99.06284581
106.2043462,107.0911854,97.4737372,103.7392544
107.4467712,108.4192823,97.4737372,106.2043462
116.5243041,119.0848579,97.4737372,107.4467712
126.5089311,130.2526904,97.4737372,116.5243041
137.9412517,149.8153903,97.4737372,126.5089311
